link;titulo;moneda;precio;descripcion;ubicacion;condicion;Superficie total;Superficie cubierta;Dormitorios;Baños;Cantidad de pisos;Apartamentos por piso;Número de piso de la unidad;Disposición;Antigüedad;Gastos comunes;caracteristicas_ambientes;Cocheras;Ambientes;Orientación;Tipo de departamento;Bodegas;Acceso;Tipo de cochera;Tipo de cobertura;Metros de frente;Metros de fondo;Forma del terreno;Disposición del lote;Tipo de casa
https://apartamento.mercadolibre.com.uy/MLU-478778981-espectacular-apartamento-2-dormitorios-en-la-blanqueada-a-estrenar-_JM#position=4&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;8 De Octubre, La Blanqueada;U$S;156.400;Divino apartamento a estrenar de 55.3 m2 en La Blanqueada, para ocupar ya. Como por arte de magia te encuentras con la propiedad que estabas buscando, acaso no es con estas ventajas y beneficios el apartamento que estabas buscando y a este precio, muy próximo a comercios, servicios, colegios, centros universitarios, salud, sanatorios y muy buena locomoción para todo Montevideo. Un edificio moderno y funcional, pensado desde la calidad y la seguridad.   El apartamento se ubica en el piso 6, es frente, cuenta con una superficie construida de 46.3 m2, balcón 2.5 m2, areas comunes 6.5 m2, en total 55.3 m2. Con excelentes terminaciones y calidad constructiva, una distribución muy bien lograda y de moderno diseño. Hermosa vista desde el balcón, amanecer aquí con una tasa de café y apreciando el bello amanecer debe ser un sueño hecho realidad.   Dentro del mismo encontramos:2 cómodos y luminosos dormitorios1 Baño completo revestido en su totalidad por porcelanato y/o cerámicos de calidad 1 cocina integrada a living comedor 1 JardínEl apartamento de dos dormitorios ubicado en el piso 6 se encuentra dentro de un edificación de categoría internacional con excelente arquitectura y calidad en terminaciones en 56 apartamentos a la venta con entrega inmediata.El Edificio cuenta bajos costos de gastos comunes y amenities que apuestan por la calidad de vida de sus propietarios, dentro de los cuales encontramos: Planta baja paralizada con espacios de juegos para los más chicosSala de lectura y estudioAmplia barbacoa equipada, con terraza y excelentes vistasRincón de niñosGimnasio La tecnología y seguridad dice presente, para que tu única preocupación sea disfrutar y relajarte: Servicio de portería y control de acceso Reja Video Vigilancia CCTV Acceso digital a la unidad Porteros inteligentes Control de acceso desde SmartPhone Acceso digital a las unidades por portero inteligente Comunicación interna del edificio a través de pantallas en espacios comunes Cerca eléctrica Disfrute de la tranquilidad del entorno barrial sin preocupaciones, junto con ambientes sofisticados con excelente calidad de terminaciones, donde la comodidad y la calidez están presentes en cada detalle. Los garajes y cocheras son de comercialización independiente opcional, con precios a partir de U$S 18.000 Gastos de ocupación 4% Comisión inmobiliaria 3%+IVAConsulte por diferentes formas de financiación que se adapten a sus posibilidades;La Blanqueada, Montevideo;Vende;55.3 m²;46.3 m²;2;1;;;;;2020 años;;Cocina,;;4;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478710923-departamento-centro-montevideo-_JM#position=5&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Canelones Esq Río Negro, Centro;U$S;90.000;Apartamento a la venta ideal para Inversión, piso 9 al frente con vista despejada. Luminoso. En excelente punto de la ciudad con servicios y locomoción cerca. Son 50m2. Cuenta con gran living comedor muy luminoso, dormitorio y dos baños. Es necesario adaptar cocina en Living.;Centro, Montevideo;Vende;50 m²;;1;2;1;;;Frente;1982 años;3500 UYU;Cocina,;;;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478703747-ricaldoni-vista-al-parque-3-dormitorios-3-banos-garaje-doble-parrillero-propio-_JM#position=6&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Av. Ricaldoni Frente Al Parque, Parque Batlle;U$S;290.000;Apartamento en venta de 3 dormitorios en Parque Batlle, MontevideoAvda. Ricaldoni frente al Parque! En exclusividad! Ubicación estratégica próximo a centros de salud, facultades y Estadio Centenario. Piso alto, hermosa vista al principal pulmón de la ciudad. Apartamento muy luminoso, funcional e impecable. Living comedor con grandes ventanales y cómoda terraza. Dormitorio principal en suite.Segundo y tercer dormitorio. Todos con buenos placares. Segundo baño completo. Buenos pisos de parquet en todo el apartamento. Cocina y baños porcelanato. Baño de servicio. Gran cocina en concepto abierto, integrada al estar diario y con acceso a terraza. Profusión de placares. Estufa leño-gas. Terraza posterior con muy buen parrillero propio. El apartamento cuenta con garaje doble (en línea) y box. Vigilancia 24 horas. Calefacción por losa radiante eléctrica. Tenemos llaves.Comisión inmobiliaria: 3 % más IVACoordine una videollamada para saber más de la propiedad!Código: AAP3611694 - Abate Propiedades - Teléfono +59827070700 - Whatsapp +59897353950 - info@abate.com.uy;Parque Batlle, Montevideo;Vende;109 m²;95 m²;3;3;;;;Frente;26 años;16500 UYU;Cocina,Terraza,;2;4;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478732039-apartamento-a-la-venta-_JM#position=7&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Sarmiento  2662, Punta Carretas;U$S;280.000;Impecable apartamento ubicado en Sarmiento y Ellauri. Consta tres dormitorios con placares y uno de ellos en suite más servicio completo, living comedor amplio con terraza al frente, cocina con comedor diario y garage con lugar fijo. El edificio tiene portería 24 hs y calefacción. Gastos comunes: $12.000.;Punta Carretas, Montevideo;Vende;150 m²;150 m²;3;3;;;;;;;;1;;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478701411-apartamento-punta-carretas-_JM#position=8&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Ellauri Al 700, Punta Carretas;U$S;139.000;Ellauri y Juan Maria Perez Apartamento muy bien reciclado de un dormitorio.Ingresamos por comodo living con buena luz natural y ventilación.Cocina semi integrada con muebles aéreos y bajo mesada, con salida a terraza lavadero y con barra hacia el living.Baño completo con mampara.Amplio dormitorio con buena luz y ventilacion.Edificio de los años 40 con buen estado de mantenimiento,camaras de seguridad, ascensor y servivcio de limpieza de lunes a sabados.Excelente punto con mucha locomocion y todos los servicios.Precio de Venta U$S 139.000Gastos Comunes $ 3.000Contribucion anual $ 4.800Primaria anual $ 2.000Vendedor Asignado Sebastian Correa 096.500.124La Casa Propiedades - La opción inmobiliaria de MontevideoDirección: Bv.España 2153 esq. Joaquin de SalterainTeléfono: 2407.44.90 Whatsapp: 096 500 414Seguinos en Instagram y Facebook @lacasapropSomos socios ADIU, Asociación de Agentes Inmobiliarios de Uruguaywww.LaCasaPropiedades.com.uy;Punta Carretas, Montevideo;Vende;43 m²;43 m²;1;1;;;;Interno;76 años;3000 UYU;;;2;Este;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478734758-venta-apartamento-3-dormitorios-pocitos-bepropiedades-_JM#position=9&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Fco. Soca 1146, Pocitos;U$S;310.000;Soca y Libertad, 136m, excelente vista desde todo el apartamento, amplio living comedor esquina con buena terraza, gran biblioteca, A/A, 3 dormitorios amplios dos de ellos al frente todos con placares, cocina cuadrada, terraza lavadero, servicio completo, 2 baños, completos. El apartamento tiene doble circulación y profusión de placares. Gge. x1 entrada directa. El edificio cuenta con calefacción, portería con horario y a demás servicio de ojo de Alcom, cámaras de seguridad externas. (CW137800);Pocitos, Montevideo;Vende;136 m²;126 m²;3;2;10;2;10;Frente;40 años;20000 UYU;Dormitorio de servicio,Cocina,Balcón,Living,Comedor,Terraza,;1;4;;Departamento;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478787916-venta-de-casa-en-malvin-3-dormitorios-_JM#position=10&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Missouri 1450, Malvin;U$S;310.000;TROPICAL....  PADRON UNICO DE RIVERA AL SUR, PROXIMO CLUB MALVIN.. VEA EL VIDEO ADJUN TO Y REALICE UNA VISITA VIRTUAL CASI TODA EN UNA SOLA PLANTA / JARDIN CON REJA PERIMETRAL Y ESPACIO PARA UN VEHICULO GRANDE / GARAGE CERRADO PARA OTRO VEHICULO GRANDE CON ACCESO DESDE ADENTRO / AMPLIO RECIBIDOR / LIVING CON ESTUFA A LEÑA / UN BAÑO COMPLETO / COCINA CON UN COMODO OFFICE / BUEN  PATIO CON PARRILLERO Y ESCALERA DE ACCESO A LA AZOTEA, 2 AMPLIOS DORMITORIOS EN PLANTA BAJA CON VISTA AL PATIO TRASERO, Y UN DORMITORIO MEDIANO EN PLANTA ALTA CON ACCESO A LA AZOTEA ( POSIBILIDAD DE HACERLO EN SUITE ). / PRECIO SOLICITADO USD 310.000 /. INMOBILIARIA TROPICAL / EDUARDO SARAZOLA  DE LUNES A DOMINGOS DE 10 A 22HS TODOS LOS DIAS;Malvin, Montevideo;Vende;171 m²;107 m²;3;1;1;;;;75 años;;Cocina,Jardín,Patio,Living,Comedor,;2;4;Oeste;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478716517-venta-apartamento-pocitos-1-dormitorio-porteria-bbcoa-bepro-_JM#position=11&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;21 De Setiembre 3003 0000, Pocitos;U$S;120.000;Excelente punto, sobre 21, a pasos del parque, al frente, muy luminoso, un dormitorio con placard, baño no en suite, living comedor con A/A y cocina integrada con barra. Posibilidad que quede algún mueble, estado general bueno, y muy buena distribución que permite el aprovechamiento de cada metro cuadrado. El edificio cuenta con barbacoa cerrada con parrillero en el último piso y con lavadora y secarropas, lo que se maneja sin costo. Portería con horario. (CW158100);Pocitos, Montevideo;Vende;32 m²;32 m²;1;1;;;3;Frente;16 años;5300 UYU;Lavadero,Living,Comedor,;;2;Oeste;Departamento;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478789002-casa-2-dormitorios-en-cooperativa-_JM#position=12&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Juan Acosta 0000, Las Acacias;U$S;50.000;Traspaso casa en cooperativa de ayuda mutua. En buenas condiciones tanto la casa como la Cooperativa. Entorno cuidado. Barrio de trabajadores.;Las Acacias, Montevideo;Vende;130 m²;58 m²;2;1;2;;;;38 años;;Cocina,Jardín,Patio,Living,Comedor,;1;;Este;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478721904-venta-apartamento-monoambiente-_JM#position=13&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Venta Apartamento Loft 301 Pocitos, Pocitos;U$S;97.400;ULTIMA UNIDAD AL FRENTE !!!  EXCELENTE OPORTUNIDAD!!!Unidad 301 (3o Piso)Este departamento loft cuenta con 1 dormitorio, baño, cocina integrada al living comedor y terraza con acceso desde el living. URBAN SUITE V es un edificio a construir por FIDEICOMISO AL COSTO.El mismo se desarrollara en una exclusiva ubicación. Cerca de las torres WTC, y a metros de Montevideo Shopping. Es un edificio que se puede utilizar para residencial como así también para comercial.Servicios: Recepción y vigilancia / CCTV/ Portero eléctrico / Telefonía internaLaundry / Depositos de basura por piso / Cocheras individuales/compartidas / Solarium/ Barbacoa con parrillerosCuenta con 23 unidades de 1 dormitorio, penthouse 2 dormitorios y loft con terraza.MODALIDAD DE PAGO AL FIDEICOMISO:*GASTOS DE CONEXIóN 5.5%*LA COMISIóN INMOBILIAIRA ES 3% MáS IVA.Es una constructora que posee otros emprendimientos terminados, podemos visitarlos para que se puedan observar las excelentes terminaciones y la calidad de construcción.Podes conocer el apto desde : https://www.youtube.com/watch?v=oJB5SsM1WQk Visitanos en www.grupogardiol.com;Pocitos, Montevideo;Vende;51 m²;43 m²;;1;;;;Frente;0 años;0 UYU;Cocina,Living,Terraza,;;1;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478733699-venta-apartamento-pocitos-_JM#position=14&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Venta Apartamento Pocitos, Pocitos;U$S;180.000;SE PARTE DE LA NUEVA EXPERIENCIA QUE TE OFRECE MORE ECHEVERRIARZA.Tranquilidad a metros de la Rambla de Pocitos, World Trade Center y Montevideo Shopping.Apartamento de un dormitorio, baño completo, living comedor con cocina integrada. Espectacular terraza en piso 3 con accesos desde el living o el dormitorio. La propiedad esta equipada con aire acondicionado inteligente en cada ambiente, cerradura codificada en puerta de acceso y cocina pronta para su uso (Incluye anafe, horno de empotrar y campana extractora). Cargador USB en cocina, living y dormitorio principal.Recepción / Portería 24hs. / CCTV . Ingreso con sistema TAG / Cerraduras codificadas.El edificio con más amenities de Montevideo, enfocadas a una experiencia de vida de calidad Premium.PLANTA BAJA:Lobby de acceso /Sala multifunción /Business center /Gimnasio.Wifi libre /Auto mini y 3 biciletas de uso colectivo.NIVEL 1:Microcine / Laundry.ROOF TOP:Piscina / Vistas de la ciudad /Living exteriores.2 barbacoas / Sector jardín.SERVICIOS ADICIONALES:Mucama / App para realizar reserva de amenities, servicios, etc. No dude en solicitar una visita virtual o presencial con todas las medidas sanitarias correspondientes.;Pocitos, Montevideo;Vende;;;1;1;;;;;0 años;7000 UYU;Balcón,Terraza,;;;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478708304-venta-de-3-dormitorios-y-scio-con-patio-con-parrillero-_JM#position=15&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Pocitos, Pocitos;U$S;415.000;Sobre Avenida Brasil próximo al Mar. Excelente planta. Muy linda distribución. Gran recepción apaisada con hermosa terraza, 3 amplios dormitorios con placares el principal en suite, hall de distribución con excelente placares, 2 Baños completos, simpático y soleado estar, cocina con profusión de placares bajo y sobre mesada y salida a terraza lavadero de muy buen tamaño, servicio completo, hermoso patio con parrillero y lugar de gge fijo. Losa radiante. Agende su visita al 099648955. Apartamento súper confortable con gran potencial. No deje de verlo! Contribución $ 50.000 (CW158073);Pocitos, Montevideo;Vende;180 m²;135 m²;3;3;1;;2;;41 años;15000 UYU;Lavadero,Dormitorio de servicio,Cocina,Dormitorio en suite,Patio,Living,Estudio,Comedor,Terraza,;1;4;;Departamento;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478745642-venta-3-y-scio-con-gge-doble-leyenda-patria-_JM#position=16&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Villa Biarritz, Villa Biarritz;U$S;580.000;VENTA DE ESPECTACULAR PLANTA EN LEYENDA PATRIA FRENTE A PARQUE VILLA BIARRITZ. LA MEJOR ORIENTACIÓN. DIVINA VISTA AL VERDE DEL PARQUE. Gran Recepción apaisada con divinos ventanales al parque, 3 dormitorios con placares ( principal con gran vestidor y baño en suite compartimentado con ducha y Jacuzzi), baño social, estar al frente con terraza, gran cocina comedor diario con terraza lavadero, servicio completo o 4to dormitorio ya que se puede integrar al hall de los dormitorios. Puerta principal y de servicio. Garage para dos autos. Losa radiante y vigilancia. Divina oportunidad para vivir en una zona rodeada de verde y próximo al Mar. Consulte y agende su visita al 099648955. (CW158210);Villa Biarritz, Montevideo;Vende;165 m²;147 m²;3;3;1;;4;;22 años;25000 UYU;Lavadero,Dormitorio de servicio,Cocina,Dormitorio en suite,Living,Estudio,Comedor,Terraza,Baño social,;2;4;;Departamento;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478767802-vende-rambla-de-malvin-1-dormitorio-con-terraza-piso-alto-losa-vig-24hs-_JM#position=17&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Malvín, Malvin;U$S;195.000;Ed de categoría en la Rambla de Malvín, departamento de un dormitorio con living amplio pisos de lapacho tarugado y terraza al frente con doble ventana. Cocina definida con lugar para comedor diario y terraza lavadero al norte. Dormitorio con placar al contrafrente super despejado y luminoso. Baño de buen tamaño. Gastos comunes $10.000 incluyen calefacción por losa , fondo de reserva y portero las 24hs. Alquila garaje en el edificio. Consúltenos.;Malvin, Montevideo;Vende;56 m²;56 m²;1;1;;;;;;;;;;;Departamento;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478700918-corazon-cuidad-vieja-noroeste-divina--_JM#position=18&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Sarandi 206, Ciudad Vieja;U$S;161.000;sarandi 1 cuadra perez castellanos .,nuda propiedad en venta ,5 ambientes arriba local comercia abajo, mas zotano.....;Ciudad Vieja, Montevideo;Vende;200 m²;100 m²;5;2;;;;;;;;2;;;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478749450-venta-gran-terreno-con-casa-ideal-emp-o-proyecto-edilicio-_JM#position=19&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Lanus 6055, Lezica;U$S;158.000;Gran terreno ideal empresa.Proyectos Inmobiliarios vende:Terreno en muy buena zona de Lezica / Colón ideal empresa o proyecto edilicio.Aspectos Relevantes:Padrón único de 3.100 m2 con una propiedad edificada en dos plantas de 176 m2.La casa se compone de living comedor, cocina con office, baño y en planta alta dos dormitorios y un segundo baño.Excepcional Ubicación:A unos 10 minutos del nuevo Parque Agroalimentario.Video de la Unidad:Se adjunta video en la publicación, la app de Mercado Libre no lo reproduce actualmente, solo si lo ve por un navegador web.Adjuntamos también el link:https://youtu.be/nI65nMJXeuY;Lezica, Montevideo;Vende;3100 m²;176 m²;3;2;2;;;;1966 años;;;50;;Norte;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478766638-venta-casa-ph-planta-alta-2-dormitorios-_JM#position=20&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Calera De Las Huerfanas 1111, La Teja;U$S;65.000;Venta casa Propiedad Horizontal en Planta Alta. Casa ubicada en calle tranquila y a pasos de todos los servicios y locomoción que tiene Carlos Maria Ramírez.Ingreso por amplio corredor con acceso compartido para ingreso de vehículos. El inmueble se desarrolla en Planta Alta con entrada independiente por el contra frenteIngresamos por escalera a amplia terraza al contrafrente, al entrar encontramos a la derecha e baño completo con ducha y en el acceso al mismo muy cómodo placard de piso al techo. Seguimos por cocina de buen tamaño con ventana de aluminio. ( Solamente habría que cambiar la mesada) . Living, el mismo cuenta con ventana en su lateral y puerta con salida al balcón al frente con muy linda vista al cerro de Montevideo. Dormitorio al frente, el mismo es de gran tamaño con piso de pinotea en madera larga con ventana con gran vista despejada al cerro de Montevideo. Dormitorio al contra frente, muy amplio con ventana al contra frente con muy buena ventilación Tanto el baño como la cocina se encuentran actualizados en su sanitaria con caños de pvc. Toda la eléctrica se encuentra actualizada con llaves individuales El inmueble se encuentra para para pintar. Azotea bien impermeabilizada.La terraza al contrafrente es de buen tamaño con posibilidad de cerrarse o colocar parrillero. Acepta Banco. Ideal para familia o para quienes lo deseen como inversion Coordine con nosotros una visita!No te pierdas la posibilidad de conocerla Honorarios Inmobiliarios ·% más Iva;La Teja, Montevideo;Vende;52 m²;52 m²;2;1;;;;;;;Cocina,Living,Comedor,Terraza,;1;;Oeste;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478767762-rambla-malvin-dueno-vende-_JM#position=21&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Rambla República De Chile Sn, Malvin;U$S;289.000;El apartamento está ubicado sobre la Rambla República de Chile, con privilegiada vista a la isla de las gaviotas. En un entorno seguro, y práctico por los comercios que se encuentran a pocas cuadras. Living comedor, con ventanales alPiso, rollers de harveys, con doble cerramiento y aislacion acústica. Piso de buena altura.El apartamento tiene dos dormitorios, uno en suite con amplios placares y lugares de guardado, el principal con aire acondicionado, todos ellos con persiana y cortinas rollers.Los baños completos con mamparas de cristal. Cocina definida, con campana incluida.placares aéreos y bajo mesada, terraza lavadero cerrada. Calefacción central incluida en bajos gastos comunes. Pisos de buena calidad,El apartamento cuenta con excelente seguridad, ya que tiene portería presencial 24 hrs. Ascensores dobles.Barbacoa para 30 personas, con parrillero, totalmente equipado en último piso , con espectacular vista. Gimnasio, jacuzzi y lavadero todo incluido en los gastos comunes ( aproximadamente 12/15 mil pesos mensuales). Garage fijo para un auto.Contribución aproximadamente 3 pagos de 7 mil pesos.Acepto permuta por mayor valor en zona de Carrasco sur., diferencia contado.;Malvin, Montevideo;Vende;75 m²;75 m²;2;2;;;;;;;;1;;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478731849-venta-de-apartamento-2-dormitorios-centro-_JM#position=22&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Aquiles Lanza, Centro;U$S;145.000;PRECIO PROMOCIÓN USD 145.000 Exonerado de impuestos a la compra e IRPF a la renta por 10 años. A estrenar apartamento al frente, próximo a 18 de Julio y Rambla Republica Argentina. Se encuentra en tercer piso, con salida a terraza desde el living comedor, cocina integrada con estupenda barra muy cómodo para desayunador y trabajar en ella. Hall de distribución con un interesante espacio para escritorio o placares. Baño completo, placar para lavarropas y calefón. Dos dormitorios hacia atrás tranquilo para el descanso. El edificio cuenta con barbacoa cerrada con parrillero, terraza abierta con segundo parrillero. Bicicletero en planta baja. Opcion garajes USD 20.000 Agendamos visita con agilidad. (CW158156);Centro, Montevideo;Vende;65 m²;65 m²;2;1;1;;3;;1 años;4500 UYU;Lavadero,Cocina,Terraza,;;3;;Departamento;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478795360-apartamento-2-dormitorios-2-banos-2-garajes-y-gran-patio-_JM#position=23&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;2d, 2b, 2 Garajes Gran Terraza Av. Soca Casi Av. Brasil 0000, Pocitos;U$S;225.000;"Precioso e iluminado Apartamento, situado sobre la Av. Soca casi Av Brasil.El Edificio posee gran calidad constructiva y de diseño exclusivo. El Apartamento consta de:- Living Comedor al frente, con salida a Balcón con hermosas vistas despejadas; - Cocina Definida con muchos Placares sobre y bajo Mesada;- Aire Acondicionado instalado; - Dos Dormitorios con Placares;- Uno de los Dormitorios tiene el Baño en Suite;- Dos Baños completos con Calefón instalado;- Patio de 40 m2, propio y con Parrillero; - Estado: Impecable; - Dos Garajes fijos; - Superficie total: 70 m2 internos más 40 m2 de Patio;- Piso: Primero; - El Edificio cuenta con Barbacoa con Parrillero; - Precio: USD 225.000- Gastos Comunes: $ 10.000 ( fijos todo el año) que incluyen Portería 24 hrs. y Cámaras de Seguridad.Por cualquier consulta, ampliación de datos o para visitarlo, comunicarse sólo por WhatsApp con la Dra. Elizabeth Hambrook";Pocitos, Montevideo;Vende;110 m²;70 m²;2;2;;;1;Frente;;10000 UYU;Cocina,Balcón,Dormitorio en suite,Patio,Living,Comedor,;2;;Este;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478738284-oportunidad-apartamento-con-ubicacion-excelente-de-gran-metraje-_JM#position=24&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Mazzini 0000, Pocitos;U$S;429.000;Oportunidad, Excelente apartamento de gran metraje en sexto piso de 4 dormitorios + dormitorio de servicio con baño.Ubicado en Pocitos, en un punto estratégico cerca de AV Brasil, y todos los servicios a pocas cuadras ( farmacias, supermercado, redes de cobranza) El apartamento cuenta con 4 dormitorios, uno de ellos con baño en suite, con bañera hecho a nuevo + un cuarto de servicio con un toilette.3 de los dormitorios cuentan con placares empotrados en muy buen estado de conservación, también disponen de cortinas de enrollar. Cocina: la cocina será restaurada con sus placares nuevo, instalando muebles superiores todos hechos a nuevo! Baños: Los baños también serán restaurados y todos hechos a nuevos! Cuenta con un living comedor, SUPER AMPLIO! Como podrán ver en las imágenes, con salida a gran terraza espaciosa. Podrán ver en las fotos que se encuentra el apartamento en restauración, para el próximo propietario habitarlo en unas condiciones inmejorables!el apartamento cuenta con:Portería presencial 24 HORAS. 2 GARAGES GAS NATURALSISTEMA DE AGUA CALIENTE. Se escuchan propuestas, CONSULTE.;Pocitos, Montevideo;Vende;180 m²;180 m²;5;2;;;;;0 años;;Cocina,;2;3;;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478775051-venta-casa-2-dormitorios-_JM#position=25&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Venta Casa 2 Dormitorios, Cordón;U$S;151.000;"Es una zona estratégica de la ciudad. Su núcleo es la intersección de tres grandes arterias de tránsito: la avenida 18 de Julio, el bulevar Artigas y la avenida 8 de Octubre; también es punto de partida de la avenida Italia. Estas vías procuran una rápida salida de la ciudad hacia el norte, el este y el oeste, En la zona se encuentran varios hospitales tanto públicos como privadosEsta ubicación privilegiada se aprovechó para la construcción de la terminal Tres Cruces de buses de larga distancia, la que cuenta con un centro comercial y desde la cual parten buses de pasajeros a casi todos los centros poblados importantes del país, a Argentina y al sur de Brasil. Desde la construcción de esta terminal, la zona se ha dinamizado rápidamente.Se encuentra nuestra propiedad , la cual cuenta con 2 dormitorios , uno de ellos con hermoso placard , living con estufa a leña, baño completo ,escritorio o bien se puede usar como 3o dormitorio, cocina para actualizar con comedor diario , cada habitación es cómoda y espaciosa , balcón al frente con salida desde el living .cada ambiente es muy luminoso y aireado . Con acceso a azotea de uso exclusivo , garage cómodo e independiente .Consulte y coordine visita . Propiedades sujetas a cambios sin previo aviso por parte de los propietarios.Si se encuentra interesado en la propiedad, podríamos realizar una visita virtual o presencial con las medidas sanitarias correspondientes.Le gustaría saber más detalles? Consúltenos sin compromiso, o visite nuestra página principal https://www.grupogardiol.com";Cordón, Montevideo;Vende;80 m²;;2;1;;;;;30 años;0 UYU;Cocina,Balcón,Living,;1;6;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478765517-venta-apartamento-3-dormitorios-parque-rodo-_JM#position=26&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;21 De Setiembre 2268, Parque Rodó;U$S;355.000;Muy buena planta por su luminosidad y sol Edificio ubicado en excelente lugar cerca de todo pero  con la tranquilidad de estar a 1 cuadra del Parque Rodó y muy cerquita de la Rambla  8º piso al frente  Gran balcón dónde salen el living y la suite principal  Suite con baño de buenas dimensiones y vestidor lo que amplía el espacio del sector íntimo  Baño social 2 ascensores  Cocina con estar comedor y terraza lavadero cómoda y muy luminosa  sector dormitorios anexos con baño completo y excelentes placares  Garaje para 1 auto con lugar fijo  Gastos comunes muy razonables $ 15.800 mensuales 2 apartamentos por planta  Barbacoa en el Edificio muy linda  Cuota actual de Contribución $ 12.100 (CW158282);Parque Rodó, Montevideo;Vende;110 m²;110 m²;3;3;;;8;;9 años;15800 UYU;Lavadero,Cocina,Dormitorio en suite,Living,Comedor,Terraza,Baño social,;1;4;;Departamento;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478778755-apartamento-barrio-sur-_JM#position=27&type=item&tracking_id=4be564ba-655e-4bd0-a54d-073f0a0fe38a;Maldonado Al 1000, Barrio Sur;U$S;119.000;Imperdible oportunidad!!Duplex Ideal para inversión!Padron unico y sin gastos comunes!Completamente a estrenarPleno Barrio Sur. Sobre Maldonado. A pasos de supermercado, transporte y todo tipo de facilidades.Cuenta con living comedor con cocina integrada y equipada.Dormitorio. Baño completo.Ventilación en todos los ambientes.Terminaciones de muy buen gusto.Listo para alquilar o vivir!Consulte!;Barrio Sur, Montevideo;Vende;55 m²;55 m²;1;1;;;;Frente;0 años;0 UYU;Agua corriente,;;2;;;;;;;;;;;
